"",BBK01.WT3229,BBK01.WT3229_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 10.0 years / daily data,
unit,PROZENT,
unit multiplier,one,
last update,2018-09-27 12:11:45,
2010-08-01,.,No value available
2010-08-02,2.93,
2010-08-03,2.91,
2010-08-04,2.82,
2010-08-05,2.83,
2010-08-06,2.79,
2010-08-07,.,No value available
2010-08-08,.,No value available
2010-08-09,2.74,
2010-08-10,2.76,
2010-08-11,2.72,
2010-08-12,2.66,
2010-08-13,2.67,
2010-08-14,.,No value available
2010-08-15,.,No value available
2010-08-16,2.59,
2010-08-17,2.58,
2010-08-18,2.54,
2010-08-19,2.54,
2010-08-20,2.48,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,2.47,
2010-08-24,2.42,
2010-08-25,2.35,
2010-08-26,2.33,
2010-08-27,2.27,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,2.33,
2010-08-31,2.27,
2010-09-01,2.34,
2010-09-02,2.41,
2010-09-03,2.47,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,2.50,
2010-09-07,2.46,
2010-09-08,2.38,
2010-09-09,2.48,
2010-09-10,2.52,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,2.62,
2010-09-14,2.55,
2010-09-15,2.57,
2010-09-16,2.63,
2010-09-17,2.67,
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,2.66,
2010-09-21,2.67,
2010-09-22,2.52,
2010-09-23,2.48,
2010-09-24,2.48,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,2.49,
2010-09-28,2.44,
2010-09-29,2.44,
2010-09-30,2.42,
2010-10-01,2.49,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,2.43,
2010-10-05,2.42,
2010-10-06,2.44,
2010-10-07,2.45,
2010-10-08,2.46,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,2.46,
2010-10-12,2.40,
2010-10-13,2.49,
2010-10-14,2.48,
2010-10-15,2.52,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,2.56,
2010-10-19,2.60,
2010-10-20,2.60,
2010-10-21,2.64,
2010-10-22,2.66,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,2.65,
2010-10-26,2.69,
2010-10-27,2.75,
2010-10-28,2.75,
2010-10-29,2.73,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,2.66,
2010-11-02,2.65,
2010-11-03,2.63,
2010-11-04,2.69,
2010-11-05,2.58,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,2.61,
2010-11-09,2.59,
2010-11-10,2.66,
2010-11-11,2.62,
2010-11-12,2.67,
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,2.76,
2010-11-16,2.79,
2010-11-17,2.82,
2010-11-18,2.89,
2010-11-19,2.91,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,2.94,
2010-11-23,2.86,
2010-11-24,2.80,
2010-11-25,2.93,
2010-11-26,2.90,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,2.97,
2010-11-30,2.91,
2010-12-01,2.96,
2010-12-02,3.06,
2010-12-03,3.06,
2010-12-04,.,No value available
2010-12-05,.,No value available
2010-12-06,3.07,
2010-12-07,3.13,
2010-12-08,3.24,
2010-12-09,3.20,
2010-12-10,3.18,
2010-12-11,.,No value available
2010-12-12,.,No value available
2010-12-13,3.19,
2010-12-14,3.20,
2010-12-15,3.26,
2010-12-16,3.27,
2010-12-17,3.27,
2010-12-18,.,No value available
2010-12-19,.,No value available
2010-12-20,3.21,
2010-12-21,3.18,
2010-12-22,3.20,
2010-12-23,3.15,
2010-12-24,.,No value available
2010-12-25,.,No value available
2010-12-26,.,No value available
2010-12-27,3.26,
2010-12-28,3.19,
2010-12-29,3.23,
2010-12-30,3.19,
2010-12-31,.,No value available
2011-01-01,.,No value available
2011-01-02,.,No value available
2011-01-03,3.16,
2011-01-04,3.16,
2011-01-05,3.09,
2011-01-06,3.20,
2011-01-07,3.16,
2011-01-08,.,No value available
2011-01-09,.,No value available
2011-01-10,3.12,
2011-01-11,3.10,
2011-01-12,3.19,
2011-01-13,3.25,
2011-01-14,3.25,
2011-01-15,.,No value available
2011-01-16,.,No value available
2011-01-17,3.24,
2011-01-18,3.29,
2011-01-19,3.31,
2011-01-20,3.32,
2011-01-21,3.36,
2011-01-22,.,No value available
2011-01-23,.,No value available
2011-01-24,3.36,
2011-01-25,3.31,
2011-01-26,3.37,
2011-01-27,3.38,
2011-01-28,3.40,
2011-01-29,.,No value available
2011-01-30,.,No value available
2011-01-31,3.36,
2011-02-01,3.41,
2011-02-02,3.43,
2011-02-03,3.46,
2011-02-04,3.45,
